state,value
Alabama,4
Alaska,0
Arizona,5
Arkansas,2
California,45
Colorado,6
Connecticut,3
Delaware,0
District of Columbia,2
Florida,15
Georgia,18
Hawaii,0
Idaho,1
Illinois,12
Indiana,7
Iowa,0
Kansas,3
Kentucky,0
Louisiana,2
Maine,3
Maryland,9
Massachusetts,5
Michigan,168
Minnesota,7
Mississippi,0
Missouri,6
Montana,1
Nebraska,4
Nevada,2
New Hampshire,2
New Jersey,9
New Mexico,2
New York,23
North Carolina,9
North Dakota,0
Ohio,16
Oklahoma,2
Oregon,4
Pennsylvania,11
Rhode Island,0
South Carolina,53
South Dakota,0
Tennessee,4
Texas,13
Utah,5
Vermont,1
Virginia,7
Washington,7
West Virginia,1
Wisconsin,4
Wyoming,0
Puerto Rico,0
